maaltijdtype,naam,calorieen,eiwit,koolhydraten,vet,vezels,ingredienten,bereidingstijd_min,bereidingsmethode,bereiding
Lunch,Couscous Salade met Tonijn,510.0,35.0,60.0,14.0,6.0,"75g couscous, 1 blik tonijn, 150g groente",20.0,Kookpan,1. Bereid couscous. 2. Meng met tonijn en groente.,
Lunch,Vegetarische Wrap met Kaas,470.0,20.0,55.0,18.0,6.0,"1 wrap, 40g kaas, 150g groente",10.0,Koekenpan,1. Vul wrap met kaas en groente.,
Lunch,Salade met Ei en Avocado,450.0,22.0,20.0,30.0,8.0,"2 eieren, 1 avocado, 150g sla",15.0,Kookpan,1. Kook eieren. 2. Meng met avocado en sla.,
Lunch,Pita met Kip Gyros,520.0,40.0,50.0,20.0,5.0,"1 pita, 150g kipgyros, tzatziki",15.0,Koekenpan,1. Bak kip. 2. Vul pita met kip en saus.,
Lunch,Pasta met Kip en Spinazie,540.0,42.0,65.0,14.0,6.0,"75g pasta, 120g kip, 150g spinazie",20.0,Kookpan,1. Kook pasta. 2. Bak kip. 3. Voeg spinazie toe.,
Lunch,Broodje Tonijn Melt,560.0,38.0,45.0,24.0,4.0,"1 broodje, 1 blik tonijn, 30g kaas",15.0,Oven,1. Beleg broodje. 2. Smelt kaas in oven.,
Lunch,Bulgur Salade met Kip,500.0,38.0,60.0,12.0,7.0,"75g bulgur, 120g kip, 150g groente",20.0,Kookpan,1. Kook bulgur. 2. Grill kip. 3. Meng samen.,
Lunch,Vegetarische Pastasalade,480.0,18.0,70.0,14.0,6.0,"75g pasta, 150g groente, 30g feta",20.0,Kookpan,1. Kook pasta. 2. Meng met groente en feta.,
Lunch,Wrap met Zalm en Roomkaas,490.0,32.0,45.0,20.0,4.0,"1 wrap, 80g zalm, 30g roomkaas",10.0,Geen,1. Besmeer wrap. 2. Voeg zalm toe en rol op.,
Lunch,Salade met Geitenkaas en Noten,520.0,20.0,30.0,34.0,5.0,"150g sla, 50g geitenkaas, 20g noten",10.0,Kom,1. Meng sla met geitenkaas en noten.,
Lunch,Kip Teriyaki Bowl,550.0,42.0,65.0,14.0,5.0,"75g rijst, 150g kip, teriyakisaus",25.0,Wok,1. Kook rijst. 2. Bak kip. 3. Voeg saus toe.,
Lunch,Broodje Avocado Kip,480.0,35.0,45.0,18.0,6.0,"1 broodje, 100g kipfilet, 1/2 avocado",10.0,Geen,1. Beleg broodje met kip en avocado.,
Lunch,Rijstsalade met Zalm,530.0,38.0,60.0,18.0,5.0,"75g rijst, 120g zalm, 150g groente",20.0,Kookpan,1. Kook rijst. 2. Bak zalm. 3. Meng met groente.,
Lunch,Pasta met Garnalen,540.0,35.0,65.0,14.0,4.0,"75g pasta, 150g garnalen",20.0,Kookpan,1. Kook pasta. 2. Bak garnalen. 3. Meng samen.,
Lunch,Volkoren Tosti Ham Kaas,500.0,28.0,45.0,22.0,4.0,"2 volkoren boterhammen, 40g kaas, 40g ham",10.0,Grillpan,1. Beleg brood. 2. Grill tot goudbruin.,
Lunch,Salade met Kip en Mango,480.0,36.0,35.0,18.0,6.0,"150g kip, 100g mango, 150g sla",15.0,Koekenpan,1. Grill kip. 2. Meng met mango en sla.,
Lunch,Kikkererwten Wrap met Groente,470.0,18.0,60.0,16.0,9.0,"1 wrap, 150g kikkererwten, 100g groente",15.0,Koekenpan,1. Verwarm kikkererwten. 2. Vul wrap met ingrediënten.,
Lunch,Boterham met Pindakaas en Banaan,420.0,16.0,55.0,18.0,6.0,"2 volkoren boterhammen, 20g pindakaas, 1 banaan",5.0,Geen,1. Besmeer brood met pindakaas. 2. Voeg banaan toe.,
Snack,Griekse Yoghurt met Honing en Noten,250.0,18.0,20.0,10.0,2.0,"200g Griekse yoghurt, 10g honing, 15g noten",5.0,Kom,1. Schep yoghurt in een kom. 2. Voeg honing en noten toe. 3. Meng licht en serveer.
Snack,Appel met Pindakaas,220.0,6.0,28.0,10.0,5.0,"1 appel, 20g pindakaas",5.0,Geen,1. Snijd de appel in partjes. 2. Serveer met pindakaas.
Snack,Eiwit Shake Banaan,300.0,30.0,35.0,5.0,3.0,"250ml melk, 1 banaan, 30g eiwitpoeder",5.0,Blender,1. Doe alle ingrediënten in de blender. 2. Mix tot een glad geheel.
Snack,Rijstwafels met Avocado,240.0,6.0,30.0,10.0,4.0,"3 rijstwafels, 1 halve avocado",5.0,Geen,1. Prak de avocado. 2. Besmeer de rijstwafels en serveer.
Snack,Komkommer met Hummus,180.0,5.0,15.0,10.0,4.0,"1 komkommer, 40g hummus",5.0,Geen,1. Snijd de komkommer in plakjes. 2. Dip in hummus.
Snack,Handje Amandelen,200.0,7.0,6.0,18.0,3.0,"30g amandelen",2.0,Geen,1. Neem een handje amandelen. 2. Serveer direct.
Snack,Skyr met Blauwe Bessen,210.0,20.0,25.0,2.0,3.0,"200g skyr, 50g blauwe bessen",5.0,Kom,1. Schep skyr in een kom. 2. Voeg bessen toe.
Snack,Volkoren Crackers met Kaas,260.0,12.0,22.0,14.0,3.0,"3 volkoren crackers, 30g kaas",5.0,Geen,1. Beleg crackers met kaas. 2. Serveer direct.
Snack,Protein Bar Homemade,280.0,20.0,30.0,10.0,4.0,"40g havermout, 20g pindakaas, 20g eiwitpoeder, 10g honing",10.0,Koelkast,1. Meng alle ingrediënten. 2. Druk in vorm. 3. Laat opstijven in koelkast.
Snack,Banaan met Notenmix,230.0,5.0,35.0,9.0,4.0,"1 banaan, 15g notenmix",3.0,Geen,1. Pel de banaan. 2. Eet samen met noten.
Snack,Groentesnack met Yoghurtdip,150.0,6.0,18.0,5.0,5.0,"100g wortel, 100g paprika, 50g yoghurt",5.0,Geen,1. Snijd groenten. 2. Meng yoghurt als dip.
Snack,Gekookt Ei met Peper en Zout,160.0,13.0,1.0,11.0,0.0,"2 eieren",10.0,Kookpan,1. Kook de eieren. 2. Pel en breng op smaak.
Snack,Chia Pudding Klein,220.0,8.0,20.0,12.0,6.0,"20g chiazaad, 200ml amandelmelk",5.0,Koelkast,1. Meng chia met melk. 2. Laat minimaal 2 uur staan.
Snack,Magere Kwark met Mango,190.0,22.0,20.0,0.5,2.0,"200g magere kwark, 100g mango",5.0,Kom,1. Schep kwark in kom. 2. Voeg mango toe.
Snack,Volkoren Toast met Hüttenkäse,250.0,14.0,30.0,6.0,4.0,"2 volkoren boterhammen, 80g hüttenkäse",5.0,Rooster,1. Rooster het brood. 2. Beleg met hüttenkäse.
Snack,Popcorn Naturel,180.0,5.0,30.0,4.0,4.0,"30g popcorn maïs",5.0,Pan,1. Pof de maïs in een pan zonder boter.
Snack,Energy Balls Dadels,260.0,6.0,35.0,10.0,5.0,"3 dadels, 20g noten, 10g cacao",10.0,Blender,1. Mix ingrediënten. 2. Rol tot balletjes.
Snack,Peer met Kaneel,120.0,1.0,28.0,0.0,5.0,"1 peer, kaneel",3.0,Geen,1. Snijd peer. 2. Strooi kaneel erover.
Snack,Wrap Rolletjes met Kipfilet,270.0,18.0,25.0,10.0,2.0,"1 volkoren wrap, 60g kipfilet, sla",5.0,Geen,1. Beleg wrap. 2. Rol op en snijd.
Snack,Mini Omelet Muffins,240.0,20.0,4.0,16.0,1.0,"3 eieren, 50g groente",15.0,Oven,1. Meng ei met groente. 2. Bak in muffinvorm.
Snack,Avocado met Cottage Cheese,230.0,12.0,10.0,16.0,5.0,"1 halve avocado, 100g cottage cheese",5.0,Geen,1. Snijd avocado. 2. Vul met cottage cheese.
Snack,Rijstwafel met Pindakaas en Banaan,260.0,8.0,35.0,11.0,3.0,"2 rijstwafels, 15g pindakaas, halve banaan",5.0,Geen,1. Besmeer wafels. 2. Voeg banaan toe.
Snack,Yoghurt met Granola Klein,230.0,12.0,30.0,6.0,3.0,"200g yoghurt, 25g granola",5.0,Kom,1. Meng yoghurt met granola.
Snack,Tomaat Mozzarella Prikkers,210.0,12.0,5.0,16.0,1.0,"100g mozzarella, 100g cherrytomaat",5.0,Geen,1. Rijg tomaat en mozzarella aan prikker.
Snack,Gerookte Zalm Rolletjes,220.0,18.0,2.0,16.0,0.0,"80g gerookte zalm, roomkaas",5.0,Geen,1. Besmeer zalm met roomkaas. 2. Rol op.
Snack,Proteïne Smoothie Aardbei,260.0,25.0,30.0,3.0,3.0,"250ml melk, 100g aardbeien, 30g eiwitpoeder",5.0,Blender,1. Blend alle ingrediënten.
Snack,Handje Cashewnoten,210.0,6.0,9.0,17.0,1.0,"30g cashewnoten",2.0,Geen,1. Neem een handje noten.
Snack,Mini Tosti Ham Kaas,300.0,15.0,28.0,15.0,3.0,"2 sneetjes brood, 30g ham, 30g kaas",10.0,Grillpan,1. Beleg brood. 2. Grill tot goudbruin.
Snack,Edamame Boontjes,190.0,17.0,15.0,8.0,6.0,"150g edamame",10.0,Kookpan,1. Kook edamame. 2. Bestrooi met zout.
Snack,Banaan Pannenkoekjes,270.0,12.0,35.0,8.0,3.0,"1 banaan, 2 eieren",10.0,Koekenpan,1. Prak banaan. 2. Meng met ei. 3. Bak kleine pannenkoekjes.
Snack,Skyr met Honing,180.0,20.0,15.0,0.5,0.0,"200g skyr, 10g honing",3.0,Kom,1. Meng skyr met honing.
Snack,Komkommer Rolletjes met Kip,160.0,18.0,4.0,6.0,1.0,"1 komkommer, 60g kipfilet",5.0,Geen,1. Snijd komkommer in plakken. 2. Rol kip erin.
Snack,Chocolade Kwark Bowl,250.0,22.0,20.0,6.0,3.0,"200g kwark, 10g cacao, 10g honing",5.0,Kom,1. Meng kwark met cacao en honing.
Snack,Volkoren Muffin met Ei,280.0,14.0,30.0,10.0,4.0,"1 volkoren muffin, 1 ei",10.0,Koekenpan,1. Bak ei. 2. Serveer op muffin.
Snack,Trail Mix,300.0,8.0,30.0,18.0,4.0,"20g noten, 20g rozijnen, 10g pure chocolade",2.0,Geen,1. Meng alle ingrediënten.
Snack,Appel Kaneel Havermout Cup,240.0,8.0,40.0,5.0,5.0,"40g havermout, 1 appel, kaneel",10.0,Magnetron,1. Meng ingrediënten. 2. Verwarm 2 minuten.
Snack,Magere Kwark met Noten,230.0,22.0,10.0,10.0,2.0,"200g kwark, 15g noten",5.0,Kom,1. Meng kwark met noten.
Snack,Mini Wrap Pizza,310.0,15.0,35.0,12.0,3.0,"1 wrap, 50g tomatensaus, 40g kaas",10.0,Oven,1. Beleg wrap. 2. Bak kort in oven.
Snack,Bosvruchten Smoothie,210.0,18.0,30.0,2.0,4.0,"250ml melk, 100g bosvruchten, 20g eiwitpoeder",5.0,Blender,1. Blend alle ingrediënten.
Snack,Gekookte Kikkererwten Snack,200.0,10.0,30.0,4.0,6.0,"150g kikkererwten, paprikapoeder",10.0,Oven,1. Kruid kikkererwten. 2. Rooster in oven.
Snack,Avocado Toast Klein,260.0,6.0,28.0,14.0,5.0,"1 sneetje volkoren brood, halve avocado",5.0,Rooster,1. Rooster brood. 2. Besmeer met avocado.
Snack,Eiwitrijke Chocomelk,220.0,25.0,20.0,3.0,1.0,"250ml melk, 30g eiwitpoeder, cacao",5.0,Shaker,1. Shake alle ingrediënten goed.
Snack,Wortel met Pindasaus,190.0,6.0,20.0,10.0,4.0,"150g wortel, 20g pindasaus",5.0,Geen,1. Snijd wortel. 2. Dip in pindasaus.
Snack,Mini Caprese Salade,200.0,12.0,6.0,14.0,1.0,"100g mozzarella, 100g tomaat, basilicum",5.0,Kom,1. Snijd ingrediënten. 2. Meng samen.
Snack,Proteïne IJs,250.0,25.0,30.0,4.0,3.0,"1 banaan, 30g eiwitpoeder",5.0,Blender,1. Vries banaan. 2. Blend met eiwitpoeder.
Snack,Volkoren Beschuit met Kaas,210.0,10.0,25.0,8.0,3.0,"2 volkoren beschuiten, 30g kaas",5.0,Geen,1. Beleg beschuit met kaas.
Snack,Skyr met Aardbeien,190.0,20.0,18.0,0.5,2.0,"200g skyr, 100g aardbeien",5.0,Kom,1. Meng skyr met aardbeien.
Snack,Energiereep Haver en Honing,290.0,10.0,40.0,10.0,4.0,"50g havermout, 15g honing, 15g pindakaas",10.0,Koelkast,1. Meng ingrediënten. 2. Druk in vorm en laat opstijven.
Snack,Mini Ei Salade Cup,230.0,14.0,4.0,18.0,1.0,"2 eieren, 10g yoghurt",10.0,Kookpan,1. Kook eieren. 2. Meng met yoghurt.
Snack,Noten en Pure Chocolade,260.0,6.0,15.0,20.0,3.0,"20g noten, 20g pure chocolade",2.0,Geen,1. Combineer noten met chocolade en serveer.
